Vert_Group,Genus,Species,Common_name,Population_1,Population_2,Population_3,Latitude,Longitude,LatLongEst,Elevation,Years,Year_1,Year_final,Breeding_Cycle,Moult,Life_Stage,LifeHistConf,Jan_Sampled,Feb_Sampled,Mar_Sampled,Apr_Sampled,May_Sampled,June_Sampled,July_Sampled,Aug_Sampled,Sept_Sampled,Oct_Sampled,Nov_Sampled,Dec_Sampled,Time_min,Time_max,CaptureMethod,SampleMethod,MaxLatency_A,MaxLate_Cort,LateStressCort,StressorType,MajorStressPop,Method,A_AntibodyKit,Cort_AntibodyKit,CORT,Androgen,M_A_Mean,M_A_SE,M_A_CV,M_A_N,M_A_Min,M_A_Max,M_A_RemoveOutlier,F_A_Mean,F_A_SE,F_A_CV,F_A_N,F_A_Min,F_A_Max,F_A_RemoveOutlier,M_BC_Mean,M_BC_SE,M_BC_CV,M_BC_N,M_BC_Min,M_BC_Max,M_BC_RemoveOutlir,F_BC_Mean,F_BC_SE,F_BC_CV,F_BC_N,F_BC_Min,F_BC_Max,F_BC_RemoveOutlir,M_SC_Mean,M_SC_SE,M_SC_CV,M_SC_N,M_SC_Min,M_SC_Max,M_SC_RemoveOutlier,F_SC_Mean,F_SC_SE,F_SC_CV,F_SC_N,F_SC_Min,F_SC_Max,F_SC_RemoveOutlier,OutlierCriteria,Notes,Lab_ID,Ref_ID
Amphibian,Ambystoma,maculatum,Spotted salamander,"Framingham, Massachusetts, USA",null,null,42.2833333,-71.41666667,Reported,52,2002-2003,2002,2003,Breeding,null,null,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,null,null,Funnel traps,Anesthetized,15,5,null,low density population environment,null,RIA,"Endocrine Sciences, Calabasas, California, T3003","Endocrine Sciences, Calabasas, California, B3-163",corticosterone,testosterone,2.0945,0.25,29.23716571,6,null,null,null,null,null,null,null,null,null,null,3.17,1.43,149.6143044,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,low density enclosures contained 4 males and 1 female,Romero,452
Amphibian,Ambystoma,maculatum,Spotted salamander,"Framingham, Massachusetts, USA",null,null,42.2833333,-71.41666667,Reported,52,2002-2003,2002,2003,Breeding,null,null,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,null,null,Funnel traps,Anesthetized,15,5,null,high density population environment,null,RIA,"Endocrine Sciences, Calabasas, California, T3003","Endocrine Sciences, Calabasas, California, B3-163",corticosterone,testosterone,2.24,0.082,16.37121198,20,null,null,null,null,null,null,null,null,null,null,1,0.41,158.7923172,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,high density enclosures contained 12 males and 2 females,Romero,452
Amphibian,Ambystoma,maculatum,Spotted salamander,"Sudbury, Massachusetts, USA",null,null,42.366667,-71.416667,Reported,58,1999-2001,1999,2001,Breeding,null,null,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,null,null,hand,Active,null,780,30,Restraint,null,RIA,null,"B21-42, B3-163 from Endocrine Sciences",corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.292,1.811,99.34174438,16,null,null,N,15.544,2.925,53.22406935,8,null,null,N,14.759,2.984,80.87268785,16,null,null,N,23.304,4.097,49.72565195,8,null,null,N,null,Migration Inbound used (not outbound),Romero,517
Amphibian,Ambystoma,maculatum,Spotted salamander,"Sudbury, Massachusetts, USA",null,null,42.366667,-71.416667,Reported,58,1999-2001,1999,2001,Nonbreeding,null,null,N,N,N,N,N,N,N,N,N,N,Y,Y,N,null,null,hand,Active,null,780,30,Restraint,null,RIA,null,"B21-42, B3-163 from Endocrine Sciences",corticosterone,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14.053,3.893,143.9452173,27,null,null,N,14.75,4.59,132.0252255,18,null,null,N,17.476,2.846,84.62033529,27,null,null,N,18.986,3.892,86.97122909,18,null,null,N,null,null,Romero,517
Amphibian,Ambystoma,opacum,Marbled salamander,"United States Department Of Energy, Savannah River Site, Aiken, South Carolina, USA",null,null,33.2899832,-81.7279387,Estimated,83,1993,1993,1993,Breeding,null,null,Y,N,N,N,N,N,N,N,N,N,Y,N,N,null,null,Captured by hand,"Active, Killed",5,5,null,null,null,RIA,"Wien Labratories, Succassana, NJ. T3003","Wein Labratories, Succassana, NJ. B21-42",corticosterone,testosterone,48.8176,6.25,33.87291816,7,null,null,null,null,null,null,null,null,null,null,4.9064,1.7144,92.44815033,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"measures from the ""MIGRATING"" group",Mendonca,460
Amphibian,Amolops,larutensis,Larut sucker frog,"Ulu Gombak field study center, Kuala Lumpur, Malaysia",null,null,3.139003,101.686855,Estimated,52,1995,1995,1995,Breeding,null,null,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,null,0:00,captured by hand,"Active, Killed",2,2,null,null,null,RIA,Emmerson et al. 1993,null,corticosterone,testosterone,9.7,null,null,9,null,null,null,null,null,null,null,null,null,null,5.3,null,null,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Time min given was dusk ,Hess,454
Amphibian,Amolops,larutensis,Larut sucker frog,"Ulu Gombak field study center, Kuala Lumpur, Malaysia",null,null,3.139003,101.686855,Estimated,52,null,null,null,Breeding,null,null,Y,null,null,null,null,null,null,null,null,null,null,null,null,null,null,captured by hand,null,2,null,null,null,null,RIA,"Emerson, Rowsemitt, and Hess 1993",null,null,testosterone,26.62,null,null,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hess,455
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1992,1992,1992,Breeding,null,null,N,N,N,N,N,N,N,N,N,Y,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,0.26433,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1991,1991,1991,Nonbreeding,null,null,N,N,N,N,N,N,N,N,N,N,Y,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,0.72601,0.30507465,84.04144571,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
Amphibian,Bombina,pachypus,Appenine yellow-bellied toad,"Luarino, Salerno, Italy",null,null,40.3362096,15.3356982,Estimated,600,1992,1992,1992,Breeding,null,null,N,N,N,N,N,Y,N,N,N,N,N,N,N,null,null,Captured by hand,Active,1440,null,null,null,null,RIA,"Sorin-Biomedica kit, Testok",null,null,testosterone,1.18089,null,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Angelini,463
